Time,User_ID,Tweet,like_count,reply_count,retweet_count,language
2022-02-24 18:18:10+00:00,86141342,"LATEST: Boris Johnson announces new package of sanctions targeting over 100 Russian entities and individuals.

Johnson says this would totally exclude Russian banks from the U.K. financial system, adding, ""oligarchs in London will have nowhere to hide."" https://t.co/HI7zksJwY0",67,7,24,en
2022-02-24 18:19:08+00:00,86141342,"BREAKING: Ukraine has lost control of a key military airport located less than 20 miles from the center of Kyiv, according to Ukraine’s deputy interior minister. https://t.co/HnGqk6ADtG",23,2,22,en
2022-02-24 18:21:11+00:00,86141342,"Protesters arrested in Moscow and St. Petersburg at demonstrations against Russia's invasion of Ukraine.

LIVE UPDATES: https://t.co/LdXXSlbhjT https://t.co/9reKBuUziR",162,15,84,en
2022-02-24 18:52:58+00:00,86141342,"BREAKING: Pres. Biden: ""Putin is the aggressor. Putin chose this war. And now he and his country will bear the consequences."" https://t.co/qHac9iJhYv https://t.co/7NHKe0ok5p",91,11,37,en
2022-02-24 18:53:11+00:00,86141342,"BREAKING: Pres. Biden authorizes ""additional strong sanctions"" against Russia.

""We have purposefully designed these sanctions to maximize the long-term impact on Russia and to minimize the impact on the United States and our allies."" https://t.co/CZD2inXTzi https://t.co/fGXB9txDm4",50,8,25,en
2022-02-24 19:01:37+00:00,86141342,"Pres. Biden says countries representing “well more than half the global economy” are implementing economy sanctions against Russia. 

“We will limit Russia’s ability to do business in dollars, euros, pounds and yen.” https://t.co/CZD2inXTzi https://t.co/3t4lOPR9eM",5532,531,911,en
2022-02-24 19:38:33+00:00,86141342,".@IanPannell to @DavidMuir on Russian invasion of Ukraine: ""The situation on the ground is serious, and it's growing more serious really by the hour."" https://t.co/Y0PhsCbYly https://t.co/1XPE2L6XzJ",85,7,28,en
2022-02-24 19:46:04+00:00,86141342,"LATEST:

- Biden authorizes 'additional strong sanctions' against Russia

- Chernobyl taken by Russian forces, Ukraine says

- US official: this is 'initial phases of a large-scale invasion'

- G-7 leaders bringing 'severe' coordinated sanctions

MORE: https://t.co/xaPKhuatnv",23,6,14,en
2022-02-24 20:00:22+00:00,86141342,"People attend an anti-war protest in Saint Petersburg, Russia, amid Vladimir Putin's invasion of Ukraine. 

LIVE UPDATES: https://t.co/ggEzsE9N1e https://t.co/QwSDErQMWU",7662,101,1269,en
2022-02-24 20:04:55+00:00,86141342,"""Hundreds actually came out here in downtown Moscow to protest against the decision to invade Ukraine.""

@JamesAALongman told @DavidMuir as some Russians protesting the Russian invasion of Ukraine are being swiftly taken off the streets.   https://t.co/Y0PhsCbYly https://t.co/dBlMLitoL6",84,4,36,en
2022-02-24 20:15:06+00:00,86141342,"""Block Putin's wallet.""

Anti-war protesters gathered in London, calling for sanctions, amid Russia's military invasion of Ukraine. https://t.co/IuL8mNYkWo https://t.co/xzDSCVrT8u",118,5,36,en
2022-02-24 20:45:19+00:00,86141342,Ukrainians in the U.S. fear for loved ones back home amid Russian invasion. https://t.co/a5AhNnyWYy,51,5,24,en
2022-02-24 22:02:10+00:00,86141342,BREAKING: Jury reaches verdict in federal trial of former police officers involved in George Floyd's death. https://t.co/UBkwF0kCsM,40,2,13,en
2022-02-24 22:34:44+00:00,86141342,BREAKING: Three former Minneapolis police officers accused of violating George Floyd's civil rights have been found guilty on all counts. https://t.co/z9NeZhSoZy,46,1,15,en
2022-02-24 22:36:07+00:00,86141342,"NEW: Former Pres. Barack Obama: ""Michelle and I will be praying for the courageous people of Ukraine, for Russian citizens who have bravely declared their opposition to these attacks, and for all those who will bear the cost of a senseless war."" https://t.co/p4n8NEOBfu https://t.co/YwawJzoxdz",124,6,26,en
2022-02-24 22:56:02+00:00,86141342,"NEW: U.S. Secretary of State Antony Blinken to @DavidMuir: ""Is it a possibility that Putin goes beyond Ukraine? Sure, it's a possibility.""

More tonight on @ABCWorldNews. https://t.co/N6PX4MAjBa https://t.co/AD0zONIFlp",227,57,99,en
2022-02-24 23:00:26+00:00,86141342,"School counselor says Crumbley parents acted coldly toward son in meeting the morning of school shooting. 

The couple faces charges of involuntary manslaughter in the Nov. 30 massacre. https://t.co/R0y9bpTNqX",19,1,9,en
2022-02-24 23:07:26+00:00,86141342,".@DavidMuir to U.S. Secy. of State Antony Blinken: ""You're convinced Putin's going to overthrow [Ukraine's] government?""

Blinken: ""I'm convinced he's going to try to do that.""

More tonight on @ABCWorldNews. https://t.co/N6PX4MAjBa https://t.co/wwsMkDs7EN",509,41,191,en
2022-02-24 23:25:10+00:00,86141342,#WorldNewsTonight with @DavidMuir starts in FIVE minutes. RT if you're watching https://t.co/asCPyoVORP,70,18,36,en
2022-02-24 23:41:05+00:00,86141342,NEW: Ukrainian officials say they have reclaimed a key military airport on the edge of Kyiv that had been seized by Russian special forces. https://t.co/ogGlsYOrbf,86,6,27,en
2022-02-25 00:33:57+00:00,86141342,"ONE-ON-ONE WITH SECY. BLINKEN: @DavidMuir goes one-on-one with U.S. Secy. of State Antony Blinken who said “it’s a possibility” that Putin will go beyond Ukraine, adding that “everything is on the table” in regards to Putin being sanctioned. https://t.co/N6PX4MAjBa https://t.co/iNWusruaxy",81,28,40,en
2022-02-25 01:30:00+00:00,86141342,"Three former Minneapolis police officers Thomas Lane, J. Alexander Kueng and Tou Thao, have been found guilty on all counts by a federal jury for violating George Floyd's civil rights. @DavidMuir reports. https://t.co/BZOUlA9fcp https://t.co/w2IUiUXmhH",45,4,17,en
2022-02-25 02:40:00+00:00,86141342,RUSSIA INVADES UKRAINE: Russia has unleashed a brutal military assault on Ukraine as U.S. military sources say they believe the Russians are planning to surround Kyiv and “decapitate” the government. @IanPannell is there. https://t.co/N6PX4MRUsI https://t.co/3b70c68dpC,93,9,36,en
2022-02-25 03:00:02+00:00,86141342,PROTESTERS ARRESTED ACROSS RUSSIA: @JamesAALongman is in Moscow where demonstrators there and in other Russian cities and towns have been detained for protesting against the Russian invasion of Ukraine. https://t.co/N6PX4MRUsI https://t.co/3vtUBYyN0O,53,9,20,en
2022-02-25 03:30:00+00:00,86141342,PRESSURING PUTIN: @CeciliaVega is at the White House with more on the severe sanctions President Biden imposed on Russia after their invasion of Ukraine. https://t.co/N6PX4MAjBa https://t.co/2lqhtAfpZU,47,13,17,en
