Year,Month,Trade Type,Consignment,Statistics,Value,Unit
"2020","Dec","Imports","CAMBODIA","Value (Year-to-date)","1,490","HK$ Mn"
"2020","Dec","Imports","CAMEROON","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","CAMEROON","Value (Year-to-date)","5","HK$ Mn"
"2020","Dec","Imports","CANADA","Value (Monthly)","555","HK$ Mn"
"2020","Dec","Imports","CANADA","Value (Year-to-date)","7,491","HK$ Mn"
"2020","Dec","Imports","CENTRAL & SOUTH AMERICA,NESOI","Value (Monthly)","8","HK$ Mn"
"2020","Dec","Imports","CENTRAL & SOUTH AMERICA,NESOI","Value (Year-to-date)","50","HK$ Mn"
"2020","Dec","Imports","CHAD","Value (Monthly)","-",""
"2020","Dec","Imports","CHAD","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","CHILE","Value (Monthly)","660","HK$ Mn"
"2020","Dec","Imports","CHILE","Value (Year-to-date)","10,094","HK$ Mn"
"2020","Dec","Imports","COLOMBIA","Value (Monthly)","21","HK$ Mn"
"2020","Dec","Imports","COLOMBIA","Value (Year-to-date)","235","HK$ Mn"
"2020","Dec","Imports","COMOROS","Value (Monthly)","-",""
"2020","Dec","Imports","COMOROS","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","CONGO","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","CONGO","Value (Year-to-date)","21","HK$ Mn"
"2020","Dec","Imports","CONGO, DEM REP THE","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","CONGO, DEM REP THE","Value (Year-to-date)","5","HK$ Mn"
"2020","Dec","Imports","COSTA RICA","Value (Monthly)","893","HK$ Mn"
"2020","Dec","Imports","COSTA RICA","Value (Year-to-date)","3,236","HK$ Mn"
"2020","Dec","Imports","COTE D'IVOIRE","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","COTE D'IVOIRE","Value (Year-to-date)","6","HK$ Mn"
"2020","Dec","Imports","CROATIA","Value (Monthly)","19","HK$ Mn"
"2020","Dec","Imports","CROATIA","Value (Year-to-date)","106","HK$ Mn"
"2020","Dec","Imports","CUBA","Value (Monthly)","33","HK$ Mn"
"2020","Dec","Imports","CUBA","Value (Year-to-date)","285","HK$ Mn"
"2020","Dec","Imports","CYPRUS","Value (Monthly)","11","HK$ Mn"
"2020","Dec","Imports","CYPRUS","Value (Year-to-date)","157","HK$ Mn"
"2020","Dec","Imports","CZECHIA","Value (Monthly)","176","HK$ Mn"
"2020","Dec","Imports","CZECHIA","Value (Year-to-date)","2,422","HK$ Mn"
"2020","Dec","Imports","DENMARK","Value (Monthly)","228","HK$ Mn"
"2020","Dec","Imports","DENMARK","Value (Year-to-date)","2,150","HK$ Mn"
"2020","Dec","Imports","DJIBOUTI","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","DJIBOUTI","Value (Year-to-date)","3","HK$ Mn"
"2020","Dec","Imports","DOMINICAN REPUBLIC","Value (Monthly)","8","HK$ Mn"
"2020","Dec","Imports","DOMINICAN REPUBLIC","Value (Year-to-date)","164","HK$ Mn"
"2020","Dec","Imports","ECUADOR","Value (Monthly)","32","HK$ Mn"
"2020","Dec","Imports","ECUADOR","Value (Year-to-date)","357","HK$ Mn"
"2020","Dec","Imports","EGYPT","Value (Monthly)","75","HK$ Mn"
"2020","Dec","Imports","EGYPT","Value (Year-to-date)","828","HK$ Mn"
"2020","Dec","Imports","EL SALVADOR","Value (Monthly)","67","HK$ Mn"
"2020","Dec","Imports","EL SALVADOR","Value (Year-to-date)","596","HK$ Mn"
"2020","Dec","Imports","EQUATORIAL GUINEA","Value (Monthly)","-",""
"2020","Dec","Imports","EQUATORIAL GUINEA","Value (Year-to-date)","-",""
"2020","Dec","Imports","ESTONIA","Value (Monthly)","16","HK$ Mn"
"2020","Dec","Imports","ESTONIA","Value (Year-to-date)","126","HK$ Mn"
"2020","Dec","Imports","ESWATINI","Value (Monthly)","-",""
"2020","Dec","Imports","ESWATINI","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","ETHIOPIA","Value (Monthly)","3","HK$ Mn"
"2020","Dec","Imports","ETHIOPIA","Value (Year-to-date)","1,857","HK$ Mn"
"2020","Dec","Imports","FIJI","Value (Monthly)","5","HK$ Mn"
"2020","Dec","Imports","FIJI","Value (Year-to-date)","25","HK$ Mn"
"2020","Dec","Imports","FINLAND","Value (Monthly)","31","HK$ Mn"
"2020","Dec","Imports","FINLAND","Value (Year-to-date)","778","HK$ Mn"
"2020","Dec","Imports","FRANCE","Value (Monthly)","3,813","HK$ Mn"
"2020","Dec","Imports","FRANCE","Value (Year-to-date)","44,340","HK$ Mn"
"2020","Dec","Imports","GABON","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","GABON","Value (Year-to-date)","14","HK$ Mn"
"2020","Dec","Imports","GAMBIA","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","GAMBIA","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","GEORGIA","Value (Monthly)","2","HK$ Mn"
"2020","Dec","Imports","GEORGIA","Value (Year-to-date)","25","HK$ Mn"
"2020","Dec","Imports","GERMANY","Value (Monthly)","4,825","HK$ Mn"
"2020","Dec","Imports","GERMANY","Value (Year-to-date)","49,313","HK$ Mn"
"2020","Dec","Imports","GHANA","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","GHANA","Value (Year-to-date)","16","HK$ Mn"
"2020","Dec","Imports","GIBRALTAR","Value (Monthly)","-",""
"2020","Dec","Imports","GIBRALTAR","Value (Year-to-date)","6","HK$ Mn"
"2020","Dec","Imports","GREECE","Value (Monthly)","33","HK$ Mn"
"2020","Dec","Imports","GREECE","Value (Year-to-date)","303","HK$ Mn"
"2020","Dec","Imports","GRENADA","Value (Monthly)","-",""
"2020","Dec","Imports","GRENADA","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","GUAM","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","GUAM","Value (Year-to-date)","181","HK$ Mn"
"2020","Dec","Imports","GUATEMALA","Value (Monthly)","7","HK$ Mn"
"2020","Dec","Imports","GUATEMALA","Value (Year-to-date)","149","HK$ Mn"
"2020","Dec","Imports","GUINEA","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","GUINEA","Value (Year-to-date)","9","HK$ Mn"
"2020","Dec","Imports","GUINEA-BISSAU","Value (Monthly)","-",""
"2020","Dec","Imports","GUINEA-BISSAU","Value (Year-to-date)","-",""
"2020","Dec","Imports","GUYANA","Value (Monthly)","8","HK$ Mn"
"2020","Dec","Imports","GUYANA","Value (Year-to-date)","103","HK$ Mn"
"2020","Dec","Imports","HAITI","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","HAITI","Value (Year-to-date)","8","HK$ Mn"
"2020","Dec","Imports","HOLY SEE","Value (Monthly)","-",""
"2020","Dec","Imports","HOLY SEE","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","HONDURAS","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","HONDURAS","Value (Year-to-date)","71","HK$ Mn"
"2020","Dec","Imports","HUNGARY","Value (Monthly)","189","HK$ Mn"
"2020","Dec","Imports","HUNGARY","Value (Year-to-date)","2,458","HK$ Mn"
"2020","Dec","Imports","ICELAND","Value (Monthly)","6","HK$ Mn"
"2020","Dec","Imports","ICELAND","Value (Year-to-date)","42","HK$ Mn"
"2020","Dec","Imports","INDIA","Value (Monthly)","5,421","HK$ Mn"
"2020","Dec","Imports","INDIA","Value (Year-to-date)","57,387","HK$ Mn"
"2020","Dec","Imports","INDONESIA","Value (Monthly)","1,210","HK$ Mn"
"2020","Dec","Imports","INDONESIA","Value (Year-to-date)","13,393","HK$ Mn"
"2020","Dec","Imports","IRAN, ISLAMIC REP","Value (Monthly)","36","HK$ Mn"
"2020","Dec","Imports","IRAN, ISLAMIC REP","Value (Year-to-date)","384","HK$ Mn"
"2020","Dec","Imports","IRAQ","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","IRAQ","Value (Year-to-date)","4","HK$ Mn"
"2020","Dec","Imports","IRELAND","Value (Monthly)","486","HK$ Mn"
"2020","Dec","Imports","IRELAND","Value (Year-to-date)","6,334","HK$ Mn"
"2020","Dec","Imports","ISRAEL","Value (Monthly)","754","HK$ Mn"
"2020","Dec","Imports","ISRAEL","Value (Year-to-date)","10,610","HK$ Mn"
"2020","Dec","Imports","ITALY","Value (Monthly)","3,277","HK$ Mn"
"2020","Dec","Imports","ITALY","Value (Year-to-date)","34,691","HK$ Mn"
"2020","Dec","Imports","JAMAICA","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","JAMAICA","Value (Year-to-date)","9","HK$ Mn"
"2020","Dec","Imports","JAPAN","Value (Monthly)","24,587","HK$ Mn"
"2020","Dec","Imports","JAPAN","Value (Year-to-date)","239,984","HK$ Mn"
"2020","Dec","Imports","JORDAN","Value (Monthly)","9","HK$ Mn"
"2020","Dec","Imports","JORDAN","Value (Year-to-date)","254","HK$ Mn"
"2020","Dec","Imports","KAZAKHSTAN","Value (Monthly)","3","HK$ Mn"
"2020","Dec","Imports","KAZAKHSTAN","Value (Year-to-date)","9","HK$ Mn"
"2020","Dec","Imports","KENYA","Value (Monthly)","8","HK$ Mn"
"2020","Dec","Imports","KENYA","Value (Year-to-date)","120","HK$ Mn"
"2020","Dec","Imports","KIRIBATI","Value (Monthly)","-",""
"2020","Dec","Imports","KIRIBATI","Value (Year-to-date)","-",""
"2020","Dec","Imports","KOREA","Value (Monthly)","28,011","HK$ Mn"
"2020","Dec","Imports","KOREA","Value (Year-to-date)","247,170","HK$ Mn"
"2020","Dec","Imports","KUWAIT","Value (Monthly)","23","HK$ Mn"
"2020","Dec","Imports","KUWAIT","Value (Year-to-date)","319","HK$ Mn"
"2020","Dec","Imports","KYRGYZSTAN","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","KYRGYZSTAN","Value (Year-to-date)","3","HK$ Mn"
"2020","Dec","Imports","LAOS","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","LAOS","Value (Year-to-date)","15","HK$ Mn"
"2020","Dec","Imports","LATVIA","Value (Monthly)","20","HK$ Mn"
"2020","Dec","Imports","LATVIA","Value (Year-to-date)","144","HK$ Mn"
"2020","Dec","Imports","LEBANON","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","LEBANON","Value (Year-to-date)","451","HK$ Mn"
"2020","Dec","Imports","LESOTHO","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","LESOTHO","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","LIBERIA","Value (Monthly)","-",""
"2020","Dec","Imports","LIBERIA","Value (Year-to-date)","2","HK$ Mn"
"2020","Dec","Imports","LIBYA","Value (Monthly)","-",""
"2020","Dec","Imports","LIBYA","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","LIECHTENSTEIN","Value (Monthly)","2","HK$ Mn"
"2020","Dec","Imports","LIECHTENSTEIN","Value (Year-to-date)","23","HK$ Mn"
"2020","Dec","Imports","LITHUANIA","Value (Monthly)","48","HK$ Mn"
"2020","Dec","Imports","LITHUANIA","Value (Year-to-date)","297","HK$ Mn"
"2020","Dec","Imports","LUXEMBOURG","Value (Monthly)","286","HK$ Mn"
"2020","Dec","Imports","LUXEMBOURG","Value (Year-to-date)","1,729","HK$ Mn"
"2020","Dec","Imports","MACAO","Value (Monthly)","663","HK$ Mn"
"2020","Dec","Imports","MACAO","Value (Year-to-date)","7,283","HK$ Mn"
"2020","Dec","Imports","MADAGASCAR","Value (Monthly)","2","HK$ Mn"
"2020","Dec","Imports","MADAGASCAR","Value (Year-to-date)","33","HK$ Mn"
"2020","Dec","Imports","MALAWI","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","MALAWI","Value (Year-to-date)","3","HK$ Mn"
"2020","Dec","Imports","MALAYSIA","Value (Monthly)","15,214","HK$ Mn"
"2020","Dec","Imports","MALAYSIA","Value (Year-to-date)","163,904","HK$ Mn"
"2020","Dec","Imports","MALDIVES","Value (Monthly)","6","HK$ Mn"
